Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,324,0.9635009803616446,0.9639645107027022,0.9013806706114399,0.8863636363636364,0.9212598425196851,0.9034749034749034,0.8033706437725122
1,500,0.9507095950950796,0.9561418552119484,0.8875739644970414,0.8803088803088803,0.8976377952755905,0.8888888888888888,0.7752891396886015
2,524,0.9616102829043603,0.9647859655584586,0.8875739644970414,0.8769230769230769,0.9011857707509882,0.8888888888888888,0.7754549689709368
3,221,0.974308300395257,0.9711631985038799,0.9132149901380671,0.9066147859922179,0.9209486166007905,0.9137254901960784,0.8265376032049544
4,770,0.9597869049664891,0.9556348537857833,0.8853754940711462,0.8679245283018868,0.9090909090909091,0.888030888030888,0.7716194266448114
5,436,0.9589510850036713,0.9532499842051825,0.8913043478260869,0.8561151079136691,0.9407114624505929,0.896421845574388,0.7864576999081347
6,189,0.9567795153806496,0.9534127119288648,0.8992094861660079,0.8884615384615384,0.9130434782608695,0.9005847953216374,0.7987247496892179
7,154,0.9671608680029371,0.9718877810227462,0.9150197628458498,0.8977272727272727,0.9367588932806324,0.9168278529980658,0.8308251761521942
8,500,0.9700276523613867,0.9707832396694162,0.9268774703557312,0.9251968503937008,0.9288537549407114,0.9270216962524654,0.8537616098122481
9,229,0.9679107625490166,0.9719244285794929,0.9209486166007905,0.9080459770114943,0.9367588932806324,0.9221789883268483,0.8423184385165055
Mean,,0.9630745947020494,0.9632948529168475,0.9028478767609203,0.8893681654397373,0.9206249416451403,0.9046044237953053,0.8064359456360115
Std,,0.0069704677994922495,0.00800946459050349,0.01520673312328154,0.020581197883868065,0.015235561831699045,0.014518308268221924,0.030067158788564797
