Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,124,0.9569734522728487,0.9587771060222186,0.8888888888888888,0.8756218905472637,0.9072164948453608,0.8911392405063291,0.7782650385995945
1,209,0.9484803162224241,0.9559484091861349,0.8656330749354005,0.8480392156862745,0.8917525773195877,0.8693467336683417,0.7322071741950907
2,198,0.9602051172480103,0.9639908792888113,0.8656330749354005,0.8287037037037037,0.9226804123711341,0.8731707317073171,0.7359604551857406
3,434,0.9625020030981251,0.962247059833349,0.917312661498708,0.9214659685863874,0.9119170984455959,0.9166666666666666,0.8346643900831464
4,228,0.9466641739223333,0.9489476981662797,0.8863049095607235,0.8634146341463415,0.917098445595855,0.8894472361809045,0.774134340510604
5,164,0.9477057849473853,0.9482002237152112,0.8682170542635659,0.8736842105263158,0.8601036269430051,0.8668407310704961,0.7365103203902484
6,255,0.9553008134446562,0.9515901894778357,0.8704663212435233,0.8388625592417062,0.917098445595855,0.8762376237623762,0.7441762154725298
7,245,0.9588311095599882,0.9627279626003179,0.9015544041450777,0.9144385026737968,0.8860103626943006,0.9,0.8034971796671413
8,134,0.9531933743187737,0.9504099346555246,0.8782383419689119,0.8509615384615384,0.917098445595855,0.8827930174563591,0.758771809307533
9,92,0.9478643721979114,0.950880259617744,0.8264248704663213,0.78125,0.9067357512953368,0.8393285371702638,0.6614378277661477
Mean,,0.9537720517232456,0.9553719722563427,0.876867360190652,0.8596442223573328,0.9037711660701886,0.8804970518189055,0.7559624751177776
Std,,0.00583415285748776,0.006140888936275211,0.024479925587022312,0.040873622451442757,0.019276268051857587,0.02098869655508935,0.04679228244097594
