Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,606,0.9679203884099468,0.9678691612785688,0.9191321499013807,0.9018867924528302,0.9409448818897638,0.9210019267822736,0.8390402589946095
1,262,0.9533627960536554,0.9539356006868505,0.8796844181459567,0.8534798534798534,0.9173228346456693,0.8842504743833017,0.7614748176868699
2,162,0.9704802215928542,0.9751597354116949,0.9053254437869822,0.8988326848249028,0.9130434782608695,0.9058823529411765,0.8107569756461176
3,141,0.9686362080234041,0.9674191222288309,0.9072978303747534,0.8961538461538462,0.9209486166007905,0.9083820662768031,0.8149157515777563
4,235,0.9591073130341046,0.9620894108155669,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182
5,124,0.9718789545220203,0.9747216585037267,0.9090909090909091,0.9123505976095617,0.9051383399209486,0.9087301587301587,0.8182073839668503
6,246,0.9727460200909247,0.9760970438892874,0.9071146245059288,0.8931297709923665,0.924901185770751,0.9087378640776699,0.814744920478874
7,441,0.966864034745114,0.971433641014287,0.8932806324110671,0.8932806324110671,0.8932806324110671,0.8932806324110671,0.7865612648221344
8,200,0.9670046399725039,0.969782321195107,0.8972332015810277,0.8764044943820225,0.924901185770751,0.9,0.7956855593630984
9,266,0.968660657095096,0.9719532064078729,0.8972332015810277,0.8708487084870848,0.932806324110672,0.9007633587786259,0.7964847791731507
Mean,,0.9666661233539624,0.9690460901431793,0.9024483320469943,0.8905458289884445,0.9182378388472191,0.9040119743471985,0.8056053529891279
Std,,0.005985042197058443,0.006788494422659965,0.010938234639898061,0.018330616665534264,0.01386419541623584,0.010077331000812267,0.021404554669437262
