Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
0,168,0.9633298061062525,0.9671118104767796,0.9132149901380671,0.8977272727272727,0.9330708661417323,0.915057915057915,0.8270596583353053
1,130,0.954708848152874,0.9609092153186428,0.8757396449704142,0.8398576512455516,0.9291338582677166,0.8822429906542056,0.7557267100175579
2,136,0.9694531760605024,0.9751125773189964,0.9112426035502958,0.90625,0.9169960474308301,0.9115913555992141,0.8225462590081105
3,156,0.9666210201985621,0.9602953291015048,0.9092702169625246,0.8847583643122676,0.9407114624505929,0.9118773946360154,0.8201972509119704
4,153,0.9612242028464747,0.9630644138312526,0.8932806324110671,0.8698884758364313,0.924901185770751,0.896551724137931,0.788138899982892
5,134,0.9678795169429298,0.9684363942714969,0.9071146245059288,0.90234375,0.9130434782608695,0.9076620825147348,0.8142864974933577
6,143,0.9639269477729695,0.970904491370106,0.8992094861660079,0.8884615384615384,0.9130434782608695,0.9005847953216374,0.7987247496892179
7,126,0.9665984470933775,0.967783220894516,0.8952569169960475,0.8787878787878788,0.9169960474308301,0.8974854932301741,0.7912620725258993
8,149,0.9569123092065178,0.959589095841804,0.8932806324110671,0.8754716981132076,0.9169960474308301,0.8957528957528957,0.7874475174477819
9,184,0.9663797278507711,0.970515951892998,0.9051383399209486,0.8782287822878229,0.9407114624505929,0.9083969465648855,0.8123352225397806
Mean,,0.9637034002231232,0.9663722500318098,0.900274808803237,0.882177541177197,0.9245603933895616,0.9027203593469608,0.8017724837951873
Std,,0.0048063991505994065,0.005213550240426629,0.011378442668030399,0.01911412428057386,0.010812089879419269,0.010051479249044065,0.021882730238411353
